Go.	Gå!
Did you buy a new car?	Købte I en ny bil?
Did you buy a new car?	Har I købt en ny bil?
Did you buy that book?	Købte du den bog?
Did you call a doctor?	Tilkaldte du en læge?
Did you come by train?	Kom du med toget?
Did you read my email?	Har du læst min e-mail?
Did you read my email?	Læste du min e-mail?
Did you see my father?	Så du min far?
Did you understand it?	Forstod du det?
Do I need to say more?	Behøver jeg at sige mere?
Do we know each other?	Kender vi hinanden?
Do you believe in God?	Tror du på Gud?
Do you believe me now?	Tror du på mig nu?
Do you believe me now?	Tror I på mig nu?
Do you enjoy studying?	Kan du lide at studere?
Do you have a vacancy?	Har I et ledigt værelse?
Do you have a website?	Har du en website?
Do you have heartburn?	Har du halsbrand?
Do you have some wine?	Har du vin?
Do you know who he is?	Ved du hvem han er?
Do you like your work?	Kan du lide dit arbejde?
Do you own a computer?	Har du en computer?
Do you own a computer?	Ejer du en computer?
Do you own a computer?	Ejer I en computer?
Do you still love Tom?	Elsker du stadig Tom?
Do you still love him?	Elsker du ham stadig?
Do you think I'm sexy?	Synes du jeg er sexet?
Does Tom drink coffee?	Drikker Tom kaffe?
Does Tom have a fever?	Har Tom feber?
Does Tom like oranges?	Kan Tom lide appelsiner?
Does Tom watch soccer?	Ser Tom fodbold?
Does he speak English?	Taler han engelsk?
Does she like oranges?	Kan hun lide appelsiner?
Does she speak French?	Taler hun fransk?
Don't drink the water.	Drik ikke vandet!
Don't forget about us!	Glem os ikke!
Don't make noise here.	Lav ikke støj her.
Don't step in the mud.	Træd ikke i pløret.
Don't touch my camera.	Rør ikke ved mit kamera!
Don't you forget that.	Det må du ikke glemme!
Don't you forget that.	Det må I ikke glemme!
Don't you forget that.	Glem det ikke!
Don't you have a bike?	Har du ikke en cykel?
Don't you like apples?	Kan du ikke lide æbler?
Don't you play tennis?	Spiller du ikke tennis?
Eat whatever you like.	Spis lige hvad du vil.
Everything went black.	Alt blev sort.
Everything went wrong.	Alt gik galt.
Expect the unexpected.	Forvent det uventede.
Forty people attended.	Fyrre personer var til stede.
Give me my money back.	Giv mig mine penge tilbage!
Go home and stay home.	Gå hjem og bliv hjemme.
Go home and stay home.	Tag hjem og bliv hjemme.
Guess who I saw today.	Gæt hvem jeg har set i dag.
Has something changed?	Har noget ændret sig?
Have a good Christmas.	Du må have en god jul.
Have you all gone mad?	Er I alle sammen gået fra forstanden?
Have you been smoking?	Har du røget?
Have you seen it work?	Har du set det virke?
Haven't we met before?	Har vi ikke mødt hinanden før?
He admired my new car.	Han beundrede min nye bil.
He admired my new car.	Han beundrede min ny bil.
He caught the chicken.	Han fangede kyllingen.
He caught the chicken.	Han har fanget kyllingen.
He defeated his enemy.	Han besejrede sin fjende.
He deserves the prize.	Han fortjener prisen.
He drew a deep breath.	Han tog en dyb indånding.
He fell off the horse.	Han faldt af hesten.
He had to stay in bed.	Han måtte blive i sengen.
He has a large family.	Han har en stor familie.
He has a perfect body.	Han har en perfekt krop.
He is a famous artist.	Han er en berømt kunstner.
He is a soccer player.	Han er fodboldspiller.
He is a spoiled child.	Han er et forkælet barn.
He is a tennis player.	Han er tennisspiller.
He is afraid of death.	Han frygter døden.
He is always prepared.	Han er altid forberedt.
He is an eager beaver.	Han arbejder ihærdigt.
He is good at singing.	Han er god til at synge.
He is guilty of theft.	Han er skyldig i tyveri.
He is just an amateur.	Han er bare en amatør.
He is living in Tokyo.	Han bor i Tokyo.
He is no longer a boy.	Han er ikke længere en dreng.
He is poor, but happy.	Han er fattig men lykkelig.
He is said to be dead.	Det siges at han er død.
He is unable to do it.	Han kan ikke gøre det.
He is unable to do it.	Han er ude af stand til at gøre det.
He is washing his car.	Han er ved at vaske sin bil.
He is washing his car.	Han vasker sin bil.
He is wearing glasses.	Han bærer briller.
He rested for a while.	Han hvilede i et stykke tid.
He rested for a while.	Han hvilte i et stykke tid.
He sang while working.	Han sang medens han arbejdede.
He sat reading a book.	Han sad og læste en bog.
He seems to be honest.	Han synes at være ærlig.
He showed her the way.	Han viste hende vejen.
He threw me the apple.	Han kastede æblet hen til mig.
He took a deep breath.	Han tog en dyb indånding.
He understands French.	Han forstår fransk.
He used to drink beer.	Han plejede at drikke øl.
He wants an iPad mini.	Han ønsker en iPad mini.
He's away on business.	Han er væk på forretningsrejse.
He's my older brother.	Han er min storebror.
He's not always happy.	Han er ikke altid glad.
Here's a photo of Tom.	Her er et foto af Tom.
His dad calls him Tom.	Hans far kalder ham "Tom".
How do you feel today?	Hvordan har du det i dag?
How do you make a box?	Hvordan laver man en kasse?
How do you milk a cow?	Hvordan malker man en ko?
How good are you guys?	Hvor gode er I?
How much do you weigh?	Hvor meget vejer du?
How old are your kids?	Hvor gamle er dine børn?
How old is your uncle?	Hvor gammel er din onkel?
How old is your uncle?	Hvor gammel er jeres onkel?
How was your audition?	Hvordan gik din audition?
I admire your courage.	Jeg beundrer dit mod.
I always keep my word.	Jeg holder altid mit ord.
I am 30 years old now.	Jeg er nu 30 år gammel.
I appreciate the help.	Jeg sætter pris på hjælpen.
I believe in miracles.	Jeg tror på mirakler.
I came here yesterday.	Jeg kom hertil i går.
I can't eat the apple.	Jeg kan ikke spise æblet.
I can't find my phone.	Jeg kan ikke finde min telefon.
I can't wait any more.	Jeg kan ikke vente længere.
I cannot speak German.	Jeg kan ikke tale tysk.
I did nothing illegal.	Jeg gjorde ikke noget ulovligt.
I did that on purpose.	Jeg gjorde det med vilje.
I did that on purpose.	Det har jeg gjort med vilje.
I didn't ask for help.	Jeg bad ikke om hjælp.
I didn't ask for help.	Jeg har ikke bedt om hjælp.
I didn't drink coffee.	Jeg drak ikke kaffe.
I didn't drink coffee.	Jeg har ikke drukket kaffe.
I didn't realize that.	Det var jeg ikke klar over.
I didn't sleep enough.	Jeg sov ikke nok.
I didn't use to smoke.	Tidligere røg jeg ikke.
I didn't vote for Tom.	Jeg stemte ikke på Tom.
I didn't want to cook.	Jeg ønskede ikke at lave mad.
I dislike being alone.	Jeg kan ikke lide at være alene.
I dislike being alone.	Jeg bryder mig ikke om at være alene.
I don't care who wins.	Jeg er ligeglad med hvem der vinder.
I don't have a tattoo.	Jeg har ikke en tatovering.
I don't have any beer.	Jeg har ingen øl.
I don't have any cash.	Jeg har ingen kontanter.
I don't have anything.	Jeg har ikke noget.
I don't know anything.	Jeg ved intet.
I don't know anything.	Jeg ved ikke noget.
I don't like big dogs.	Jeg bryder mig ikke om store hunde.
I don't like homework.	Jeg bryder mig ikke om lektier.
I don't like studying.	Jeg kan ikke li' at studere.
I don't like studying.	Jeg kan ikke lide at studere.
I don't like your dad.	Jeg kan ikke lide din far.
I don't sleep so much.	Jeg sover ikke så meget.
I don't speak Swedish.	Jeg taler ikke svensk.
I drained the bathtub.	Jeg tømte badekarret for vand.
I drank tea yesterday.	Jeg drak te i går.
I explained it to him.	Jeg forklarede ham det.
I forbid you to smoke.	Jeg forbyder dig at ryge!
I forced Tom to do it.	Jeg tvang Tom til at gøre det.
I gave Tom a sedative.	Jeg gav Tom et beroligende middel.
I googled for recipes.	Jeg har googlet efter opskrifter.
I got here last night.	Jeg ankom her i aftes.
I had a great teacher.	Jeg havde en fremragende lærer.
I had a narrow escape.	Jeg undslap med nød og næppe.
I had a strange dream.	Jeg havde en underlig drøm.
I had my money stolen.	Mine penge blev stjålet.
I have a half brother.	Jeg har en halvbror.
I have eight siblings.	Jeg har otte søskende.
I have grave concerns.	Jeg har alvorlige bekymringer.
I have life insurance.	Jeg har livsforsikring.
I have lost my pencil.	Jeg har mistet min blyant.
I have nothing to say.	Jeg har intet at sige.
I have pain in my arm.	Jeg har smerter i min arm.
I have three brothers.	Jeg har tre brødre.
I have to do it again.	Jeg er nødt til at gøre det igen.
I haven't decided yet.	Jeg har endnu ikke besluttet mig.
I haven't yet decided.	Jeg har endnu ikke besluttet mig.
I heard a nightingale.	Jeg har hørt en nattergal.
I heard you hiccuping.	Jeg hørte dig hikke.
I held Tom in my arms.	Jeg holdt Tom i mine arme.
I hid under the table.	Jeg gemte mig under bordet.
I honestly don't care.	Jeg er ærlig talt ligeglad.
I hope you slept well.	Jeg håber du har sovet godt.
I just don't love Tom.	Jeg elsker bare ikke Tom.
I just googled myself.	Jeg har lige googlet mig selv.
I just saw an opossum.	Jeg har set en pungrotte.
I killed both of them.	Jeg dræbte dem begge.
I killed both of them.	Jeg har dræbt dem begge to.
I knew I wasn't crazy.	Jeg vidste jeg ikke var skør.
I knew what Tom meant.	Jeg vidste hvad Tom mente.
I know Tom is hurting.	Jeg ved at Tom lider.
I know Tom loves Mary.	Jeg ved at Tom elsker Mary.
I know Tom misses you.	Jeg ved Tom savner dig.
I know a lot about it.	Jeg ved en masse om det.
I know everything now.	Nu ved jeg alt.
I know it's difficult.	Jeg ved at det er svært.
I know it's difficult.	Jeg ved at det er vanskeligt.
I know where he lives.	Jeg ved hvor han bor.
I know where you live.	Jeg ved hvor du bor.
I like cats very much.	Jeg holder meget af katte.
I like eating seafood.	Jeg kan godt lide at spise fisk og skaldyr.
I like to buy clothes.	Jeg kan lide at købe tøj.
I like to peel apples.	Jeg kan lide at skrælle æbler.
I like writing poetry.	Jeg kan lide at skrive poesi.
I like your paintings.	Jeg kan godt lide dine malerier.
I live in Boston, too.	Jeg bor også i Boston.
I live in the country.	Jeg bor på landet.
I live with my father.	Jeg bor sammen med min far.
I live with my father.	Jeg bor hos min far.
I love having no debt.	Jeg elsker at være gældfri.
I love talking to you.	Jeg elsker at tale med dig.
I missed the last bus.	Jeg kom for sent til den sidste bus.
I need some fresh air.	Jeg har brug for noget frisk luft.
I often feel homesick.	Jeg har tit hjemve.
I often feel homesick.	Jeg har ofte hjemve.
I owe you ten dollars.	Jeg skylder dig ti dollar.
I plan on going there.	Jeg har planer om at tage derhen.
I planted a pine tree.	Jeg plantede et fyrretræ.
I planted a pine tree.	Jeg har plantet et fyrretræ.
I saw Tom play tennis.	Jeg så Tom spille tennis.
I saw the car explode.	Jeg så bilen eksplodere.
I see what's going on.	Jeg ser hvad der foregår.
I share your feelings.	Jeg har det på samme måde.
I slept on my stomach.	Jeg sov på maven.
I spoke French to Tom.	Jeg talte fransk med Tom.
I sympathize with you.	Jeg sympatiserer med dig.
I think Tom is a hero.	Jeg synes at Tom er en helt.
I think it was unfair.	Jeg synes det var uretfærdigt.
I think they're lying.	Jeg tror de lyver.
I think they're lying.	Jeg tror at de lyver.
I think they're ready.	Jeg tror de er klar.
I told you to call me.	Jeg sagde du skulle ringe til mig.
I told you to call me.	Jeg bad dig ringe til mig.
I used to be a waiter.	Jeg har tidligere været tjener.
I used to be a waiter.	Jeg har førhen været tjener.
I want another chance.	Jeg vil have en ny chance.
I want to change jobs.	Jeg ønsker at skifte job.
I want to go with you.	Jeg vil gerne gå med dig.
I was certainly lucky.	Jeg var helt sikkert heldig.
I was certainly lucky.	Jeg havde helt sikkert heldet med mig.
I was certainly lucky.	Jeg var så afgjort heldig.
I was just devastated.	Jeg var helt slået ud.
I was so disappointed.	Jeg var så skuffet.
I was there yesterday.	Jeg var der i går.
I was thinking of Tom.	Jeg tænkte på Tom.
I wear contact lenses.	Jeg bruger kontaktlinser.
I went to work by car.	Jeg kørte i bil til arbejde.
I won't be late again.	Jeg vil ikke komme for sent igen.
I won't do it anymore.	Jeg vil ikke gøre det mere.
I won't work with him.	Jeg vil ikke arbejde sammen med ham.
I work even on Sunday.	Jeg arbejder endda om søndagen.
I work in the morning.	Jeg arbejder om morgenen.
I'd do this every day.	Jeg gør det her hver dag.
I'd like to apologize.	Jeg vil gerne undskylde.
I'd like to check out.	Jeg vil gerne tjekke ud.
I'd like to try it on.	Jeg vil gerne prøve det.
I'd like to try it on.	Jeg vil gerne prøve at have det på.
I'd like you to leave.	Jeg vil gerne have, at du går væk.
I'd refuse to do that.	Jeg ville nægte at gøre det.
I'll get you for this.	Det skal du få betalt.
I'll give that to Tom.	Jeg vil give Tom det.
I'll give that to Tom.	Jeg vil give det til Tom.
I'll love you forever.	Jeg vil elske dig for evigt.
I'll see you Saturday.	Jeg ser dig på lørdag.
I'll show you my room.	Jeg vil vise dig mit værelse.
I'll sleep in my room.	Jeg sover på mit værelse.
I'll sleep in my room.	Jeg vil sove på mit værelse.
I'll think about that.	Jeg vil tænke over det.
I'm a big fan of golf.	Jeg er en stor golffan.
I'm a college student.	Jeg er en universitetsstuderende.
I'm afraid of heights.	Jeg har højdeskræk.
I'm afraid of spiders.	Jeg er bange for edderkopper.
I'm dyslexic, I think.	Jeg er ordblind, tror jeg nok.
I'm eating a cucumber.	Jeg spiser en agurk.
I'm glad I left early.	Jeg er glad for at jeg gik tidligt.
I'm in seventh heaven.	Jeg er i den syvende himmel.
I'm in touch with Tom.	Jeg er i kontakt med Tom.
I'm just doing my job.	Jeg gør kun mit arbejde.
I'm moving next month.	Jeg flytter i næste måned.
I'm not afraid at all.	Jeg er slet ikke bange.
I'm not an only child.	Jeg er ikke enebarn.
I'm not at all afraid.	Jeg er slet ikke bange.
I'm not here to fight.	Jeg er ikke her for at kæmpe.
I'm not hungry at all.	Jeg er slet ikke sulten.
I'm not strong enough.	Jeg er ikke stærk nok.
I'm not your daughter.	Jeg er ikke din datter.
I'm proud of you guys.	Jeg er stolt af jer.
I'm sure you're right.	Jeg er sikker på at du har ret.
I'm too busy for this.	Jeg har for travlt til det.
I'm working right now.	Jeg arbejder lige nu.
I've been here before.	Jeg har været her før.
I've borrowed a table.	Jeg har lånt et bord.
I've made my mistakes.	Jeg har lavet mange fejl.
I've never kissed Tom.	Jeg har aldrig kysset Tom.
I've tried everything.	Jeg har prøvet alt.
Is Tom a good teacher?	Er Tom en god lærer?
Is Tom a teacher here?	Er Tom lærer her?
Is Tom related to you?	Er Tom i familie med dig?
Is Tom related to you?	Er Tom beslægtet med dig?
Is Tom still sleeping?	Sover Tom stadig?
Is it October already?	Er det allerede oktober?
Is it a boy or a girl?	En dreng eller en pige?
Is it an action movie?	Er det en actionfilm?
Is that a new perfume?	Er det en ny parfume?
Is that a yes or a no?	Er det et ja eller et nej?
Is that what he wants?	Er det det han vil?
Is there a school bus?	Går der en skolebus?
Is there life on Mars?	Er der liv på Mars?
Is there someone else?	Er der en anden?
Is tomorrow a holiday?	Er det helligdag i morgen?
Is your job dangerous?	Er dit arbejde farligt?
It doesn't look right.	Det ser ikke rigtigt ud.
It feels like a dream.	Det føles som en drøm.
It happened yesterday.	Det skete i går.
It is Sunday tomorrow.	I morgen er det søndag.
It is raining heavily.	Det styrtregner.
It is raining heavily.	Det styrter ned.
It is raining heavily.	Det regner kraftigt.
It is raining heavily.	Det regner voldsomt.
It is raining heavily.	Det siler ned.
It is raining heavily.	Det øser ned.
It is raining heavily.	Det øsregner.
It is too late for me.	Det er for sent for mig.
It isn't a pipe dream.	Det er ikke et luftkastel.
It isn't very durable.	Det er ikke ret holdbart.
It isn't your problem.	Det er ikke dit problem.
It made me really sad.	Det gjorde mig virkelig ked af det.
It tastes really good.	Det smager virkelig godt.
It was not unexpected.	Det var ikke uventet.
It was very difficult.	Det var meget svært.
It wasn't Tom's fault.	Det var ikke Toms skyld.
It will snow tomorrow.	Det vil sne i morgen.
It won't happen again.	Det sker ikke igen.
It's a beautiful flag.	Det er et smukt flag.
It's a kind of orange.	Det er en slags orange.
It's a kind of orange.	Det er en slags appelsin.
It's a tough question.	Det er et vanskeligt spørgsmål.
It's a tough question.	Det er et svært spørgsmål.
It's a very big apple.	Det er et meget stort æble.
It's a waste of money.	Det er spild af penge.
It's already too late.	Det er allerede for sent.
It's not a pipe dream.	Det er ikke et luftkastel.
It's not very durable.	Det er ikke ret holdbart.
It's not your problem.	Det er ikke dit problem.
It's probably a virus.	Det er sandsynligvis en virus.
It's starting to rain.	Det begynder at regne.
It's starting to snow.	Det begynder at sne.
It's the best we have.	Det er den bedste vi har.
It's too late for you.	Det er for sent for dig.
It's very interesting.	Det er meget interessant.
It's what you deserve.	Det er hvad du fortjener.
It's your only chance.	Det er din eneste chance.
It's your only chance.	Det er jeres eneste chance.
It's your problem now.	Det er dit problem nu.
Keep your hands still.	Hold hænderne stille.
Keep your hands still.	Hold hænderne i ro.
Last night I threw up.	I aftes kastede jeg op.
Let's ask the teacher.	Lad os spørge læreren!
Let's build something.	Lad os bygge noget.
Let's eat out tonight.	Lad os spise ude i aften!
Let's play volleyball.	Lad os spille volleyball.
Let's speak in French.	Lad os tale fransk.
Life is one big party.	Livet er en stor fest.
Life is one big party.	Livet er én stor fest.
Listen to your mother.	Lyt til din mor.
Mark the right answer.	Marker det rigtige svar.
Mary broke up with me.	Mary slog op med mig.
Mary is a girl's name.	Mary er et pigenavn.
Mary is a hula dancer.	Mary er huladanser.
Mary is my girlfriend.	Mary er min kæreste.
Mary isn't Tom's wife.	Mary er ikke Toms kone.
May I open the window?	Må jeg åbne vinduet?
May I open the window?	Må jeg lukke vinduet op?
May I sit next to you?	Må jeg sætte mig ved siden af dig?
May comes after April.	Maj kommer efter april.
Money opens all doors.	Penge åbner alle døre.
My best friend is Tom.	Min bedste ven er Tom.
My father is a doctor.	Min far er læge.
My father is busy now.	Min far har travlt nu.
My husband is at work.	Min mand er på arbejde.
My middle name is Tom.	Mit mellemnavn er Tom.
My mother was furious.	Min mor var rasende.
My room is very small.	Mit værelse er meget lille.
My shoes are worn out.	Mine sko er slidt ned.
No one eats meat here.	Ingen spiser kød her.
No one has that right.	Ingen har den rettighed.
Nobody here eats meat.	Ingen her spiser kød.
Nobody understands me.	Ingen forstår mig.
None of your business.	Bland dig udenom!
None of your business.	Pas dig selv!
Not all birds can fly.	Ikke alle fugle kan flyve.
Not all birds can fly.	Ikke alle fugle er i stand til at flyve.
Not all change is bad.	Ikke al forandring er dårlig.
Not everyone is ready.	Ikke alle er klar.
Nothing lasts forever.	Intet varer evigt.
Now it's your problem.	Nu er det dit problem.
Our dog has gone away.	Vores hund er løbet væk.
Perhaps it's too late.	Måske er det for sent.
Perhaps you are right.	Måske har du ret.
Perhaps you are right.	Kanske har du ret.
Please don't touch me.	Vær venlig ikke at røre mig.
Please gift-wrap this.	Pak det venligst ind som en gave.
Please gift-wrap this.	Pak den venligst ind i gavepapir.
Please stop whistling.	Vil du ikke nok holde op med at fløjte.
Please stop whistling.	Hold venligst op med at fløjte.
Please take this away.	Fjern venligst dette.
Please translate this.	Oversæt venligst dette.
Please wake me at six.	Vær så venlig at vække mig klokken seks.
Pork has a lot of fat.	Svinekød indeholder meget fedt.
Red is out of fashion.	Rødt er ikke mere på mode.
She did it on purpose.	Hun gjorde det med vilje.
She has a nice figure.	Hun har en flot figur.
She has a small waist.	Hun har en smal talje.
She has gone shopping.	Hun er gået ud for at handle ind.
She is a good swimmer.	Hun er en god svømmer.
She is afraid of cats.	Hun er bange for katte.
She is afraid of dogs.	Hun er bange for hunde.
She is aged seventeen.	Hun er sytten år gammel.
She is always smiling.	Hun smiler altid.
She is always smoking.	Hun ryger altid.
She is close to sixty.	Hun er tæt på de tres.
She lives in New York.	Hun bor i New York.
She loves Tom, not me.	Hun elsker Tom, ikke mig.
She returned to Japan.	Hun vendte tilbage til Japan.
She sings out of tune.	Hun synger falsk.
She took her own life.	Hun tog sit eget liv.
She took her own life.	Hun tog sig af dage.
She went to bed early.	Hun gik tidligt i seng.
She will be a teacher.	Hun bliver lærer.
She wore a red blouse.	Hun havde en rød bluse på.
She's a single mother.	Hun er enlig mor.
She's eating an apple.	Hun spiser et æble.
She's eating an apple.	Hun er ved at spise et æble.
She's my older sister.	Hun er min storesøster.
She's too old for you.	Hun er for gammel til dig.
Should I buy a hybrid?	Bør jeg købe en hybridbil?
Should Tom be worried?	Burde Tom være bekymret?
Shut the door, please.	Luk venligst døren!
Someone stole my cash.	Nogen stjal mine kontanter.
Someone stole my cash.	Nogen har stjålet mine kontanter.
Speak a little louder.	Tal lidt højere.
Stop being so curious.	Hold op med at være så nysgerrig.
Summer is almost over.	Sommeren er ovre inden længe.
Summer is almost over.	Sommeren lakker mod enden.
Tell Tom I'm not home.	Fortæl Tom at jeg ikke er hjemme.
Tell Tom to help Mary.	Bed Tom om at hjælpe Mary.
Tell me your problems.	Fortæl mig om dine problemer.
Tell me. I'm all ears.	Fortæl løs. Jeg er lutter øren.
Thanks for your reply.	Tak for dit svar.
That book is very old.	Den bog er meget gammel.
That brown hat is old.	Den brune hat der er gammel.
That isn't a solution.	Det er ikke en løsning.
That serves you right.	Det har du godt af.
That serves you right.	Det har du rigtig godt af.
That was a close call.	Det var tæt på!
That was a lot of fun.	Det var meget sjovt.
That's a direct order.	Det er en direkte ordre.
That's a lot of money.	Det er mange penge.
That's just an excuse.	Det er bare en undskyldning.
That's one of my dogs.	Det er en af mine hunde.
That's the difference.	Det er forskellen.
That's very dangerous.	Det er meget farligt.
The baby smiled at me.	Babyen smilede til mig.
The bear ate an apple.	Bjørnen spiste et æble.
The bear ran after me.	Bjørnen løb efter mig.
The birds are singing.	Fuglene synger.
The black one is mine.	Den sorte er min.
The black one is mine.	Det sorte er mit.
The boy is over there.	Drengen er derovre.
The brake didn't work.	Bremsen virkede ikke.
The bus has just left.	Bussen er lige kørt.
The cat ate the mouse.	Katten spiste musen.
The cat is in the box.	Katten er i kassen.
The children are safe.	Børnene er i sikkerhed.
The girl likes horses.	Pigen holder af heste.
The honeymoon is over.	Hvedebrødsdagene er ovre.
The honeymoon is over.	Hvedebrødsdagene fik en ende.
The king was executed.	Kongen blev henrettet.
The other boys smiled.	De andre drenge smilede.
The other kids smiled.	De andre børn smilede.
The other kids smiled.	De andre børn smilte.
The price is too high.	Prisen er for høj.
The printer is jammed.	Printeren har papirstop.
The question is where.	Spørgsmålet er hvor.
The secret leaked out.	Hemmeligheden sivede ud.
The sky's clear today.	Himlen er klar i dag.
The story sounds true.	Historien lyder troværdig.
The streets are clean.	Gaderne er rene.
The sun has gone down.	Solen er gået ned.
The sun is already up.	Solen er allerede stået op.
The table is wobbling.	Bordet vakler.
The war ended in 1945.	Krigen sluttede i 1945.
There are no examples.	Der er ingen eksempler.
There isn't much time.	Der er ikke meget tid.
There was an accident.	Der skete en ulykke.
There was no bathroom.	Der var intet badeværelse.
There'll be a problem.	Der kommer til at være et problem.
These are shin guards.	De her er benskinner.
These are shin guards.	De her er skinnebensbeskyttere.
They are the same age.	De er jævnaldrende.
They are the same age.	De er lige gamle.
They ate marshmallows.	De spiste skumfiduser.
They bought a new car.	De har købt en ny bil.
They come from Sweden.	De kommer fra Sverige.
They don't have a car.	De har ikke bil.
They don't have a car.	De har ikke en bil.
They don't have a car.	De har ingen bil.
They gave you nothing.	De gav dig intet.
They gave you nothing.	De gav jer intet.
They hated each other.	De hadede hinanden.
They know who you are.	De ved hvem du er.
They may be in danger.	De kan være i fare.
They remained friends.	De forblev venner.
They saw us yesterday.	De så os i går.
They wash their hands.	De vasker hænderne.
They wash their hands.	De vasker deres hænder.
They were not invited.	De var ikke inviteret.
They're eating apples.	De spiser æbler.
Think outside the box.	Tænk ud af boksen.
This is a pencil case.	Det her er et penalhus.
This is an apple tree.	Dette er et æbletræ.
This is an apple, too.	Dette er også et æble.
This is for my friend.	Dette er til min ven.
This is not important.	Det er ikke vigtigt.
This mink cost $3,000.	Denne mink har kostet 3000 dollar.
This mink cost $3,000.	Denne minkpels har kostet 3000 dollar.
This pear smells nice.	Denne pære lugter godt.
This tea is very good.	Denne te er meget god.
Today is October 20th.	I dag er det den 20. oktober.
Tom and Mary are busy.	Tom og Mary har travlt.
Tom asked me to leave.	Tom bad mig gå.
Tom boarded the plane.	Tom gik ombord på flyet.
Tom bought Mary a car.	Tom har købt en bil til Mary.
Tom bought new gloves.	Tom købte nye handsker.
Tom came at six sharp.	Tom kom præcis klokken seks.
Tom came at six sharp.	Tom kom præcis kl. 6.
Tom can't drive a car.	Tom kan ikke køre bil.
Tom cleaned his rifle.	Tom rensede sin riffel.
Tom counted the coins.	Tom talte mønterne.
Tom denied everything.	Tom benægtede alt.
Tom did it on purpose.	Tom gjorde det med vilje.
Tom didn't drink much.	Tom drak ikke meget.
Tom didn't say a word.	Tom sagde ikke et ord.
Tom didn't seem happy.	Tom så ikke ud til at være glad.
Tom died October 20th.	Tom døde 20. oktober.
Tom doesn't like dogs.	Tom kan ikke lide hunde.
Tom doesn't like dogs.	Tom bryder sig ikke om hunde.
Tom doesn't want kids.	Tom vil ikke have børn.
Tom eats an awful lot.	Tom spiser uhyggelig meget.
Tom emptied his glass.	Tom tømte sit glas.
Tom felt like dancing.	Tom havde lyst til at danse.
Tom gave me something.	Tom gav mig noget.
Tom goes home at 2:30.	Tom går hjem klokken halv tre.
Tom handed Mary a cup.	Tom rakte Mary en kop.
Tom has a stomachache.	Tom har mavepine.
Tom has already begun.	Tom er allerede begyndt.
Tom has been laid off.	Tom er blevet afskediget.
Tom has fallen asleep.	Tom er faldet i søvn.
Tom has forgiven Mary.	Tom har tilgivet Mary.
Tom has poor eyesight.	Tom har et dårligt syn.
Tom has won the prize.	Tom har vundet prisen.
Tom hated his teacher.	Tom hadede sin lærer.
Tom is John's brother.	Tom er Johns bror.
Tom is Mary's brother.	Tom er Marys bror.
Tom is Mary's husband.	Tom er Marys mand.
Tom is Mary's stepdad.	Tom er Marys stedfar.
Tom is Mary's stepson.	Tom er Marys stedsøn.
Tom is Mary's teacher.	Tom er Marys lærer.
Tom is a Navy veteran.	Tom er veteran fra flåden.
Tom is a car salesman.	Tom er bilsælger.
Tom is a fact checker.	Tom er faktatjekker.
Tom is a good speaker.	Tom er en god taler.
Tom is a handsome guy.	Tom er en flot fyr.
Tom is a jazz pianist.	Tom er jazzpianist.
Tom is a middle child.	Tom er mellembarn.
Tom is a sheep farmer.	Tom er fåreavler.
Tom is a very shy boy.	Tom er en meget genert dreng.
Tom is a veterinarian.	Tom er dyrlæge.
Tom is a witch doctor.	Tom er heksedoktor.
Tom is afraid of cats.	Tom er bange for katte.
Tom is always smoking.	Tom ryger altid.
Tom is always working.	Tom arbejder altid.
Tom is an electrician.	Tom er elektriker.
Tom is at the airport.	Tom er i lufthavnen.
Tom is boiling an egg.	Tom koger et æg.
Tom is boiling an egg.	Tom er ved at koge et æg.
Tom is cold, isn't he?	Tom fryser, gør han ikke?
Tom is good at French.	Tom er god til fransk.
Tom is in the kitchen.	Tom er i køkkenet.
Tom is my best friend.	Tom er min bedste ven.
Tom is on a road trip.	Tom er på biltur.
Tom is our oldest son.	Tom er vores ældste søn.
Tom is ready to fight.	Tom er parat til at kæmpe.
Tom is sane, isn't he?	Tom er ved sine fulde fem, er han ikke?
Tom is very efficient.	Tom er meget dygtig.
Tom is very efficient.	Tom er meget handlekraftig.
Tom is very efficient.	Tom er meget kompetent.
Tom is very talkative.	Tom er meget snakkesalig.
Tom is wearing makeup.	Tom har makeup på.
Tom is writing a book.	Tom skriver en bog.
Tom isn't a bad coach.	Tom er ikke en dårlig træner.
Tom isn't a paramedic.	Tom er ikke paramediciner.
Tom isn't a paramedic.	Tom er ikke ambulanceredder.
Tom isn't cooperating.	Tom samarbejder ikke.
Tom isn't your friend.	Tom er ikke din ven.
Tom killed the spider.	Tom dræbte edderkoppen.
Tom killed the spider.	Tom slog edderkoppen ihjel.
Tom knew it was a lie.	Tom vidste at det var en løgn.
Tom knows some French.	Tom taler en smule fransk.
Tom likes to show off.	Tom kan godt lide at vise sig.
Tom likes to show off.	Tom kan godt lide at gøre sig interessant.
Tom likes to show off.	Tom kan godt lide at gøre sig vigtig.
Tom looks tired today.	Tom ser træt ud i dag.
Tom lost 30 kilograms.	Tom har tabt 30 kg.
Tom lost 30 kilograms.	Tom har tabt tredive kilo.
Tom lost his car keys.	Tom mistede sine bilnøgler.
Tom made an apple pie.	Tom har lavet en æblekage.
Tom must've been sick.	Tom må have været syg.
Tom must've had a key.	Tom må have haft en nøgle.
